gene	missenseDriverLikelihood	missenseExpDriversPerSample	missenseExpPassengersPerLoad	nonsenseDriverLikelihood	nonsenseExpDriversPerSample	nonsenseExpPassengersPerLoad	spliceDriverLikelihood	spliceExpDriversPerSample	spliceExpPassengersPerLoad	indelDriverLikelihood	indelExpDriversPerSample	indelExpPassengersPerLoad
LHPP	0.0641330267706778	1.8198929276582801E-4	1.0407240301242605E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LHX1	0.17384177966100045	0.001134608664075769	2.1130633899139162E-7	0.5450328690354255	3.0932625938446395E-4	1.0118857479876048E-8	0.0	0.0	0.0	0.6487740592327789	0.0011046096354701115	1.5857643050466477E-7
LHX2	0.0	0.0	2.2240853879758495E-7	0.027074029234774675	7.682755174453653E-6	1.081935217580578E-8	0.0	0.0	0.0	0.0	0.0	0.0
LHX3	0.0	0.0	2.0016768491782644E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LHX4	0.08932685841818486	3.2952586817151054E-4	1.316519637819215E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LHX5	0.0	0.0	2.3352896573746418E-7	0.6926150513789544	3.930845921560468E-4	6.836503727117747E-9	0.6926150513789544	1.965422960780234E-4	3.4182518635588733E-9	0.0	0.0	7.524901214978075E-8
LHX6	0.16053729251254364	7.288866856415148E-4	1.493629393178797E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.0	0.0	7.524901214978075E-8
LHX8	0.527750448812844	0.004043490952879339	1.4179364904692335E-7	0.6780065176776978	7.695874207465356E-4	1.4322819981129844E-8	0.6780065176776978	3.847937103732678E-4	7.161409990564922E-9	0.0	0.0	7.524901214978075E-8
LHX9	0.34169163469307323	0.0027149165072094354	2.0497876224859645E-7	0.7193594543679573	4.082630274506001E-4	6.241685368137956E-9	0.7193594543679573	4.082630274506001E-4	6.241685368137956E-9	0.3341733410263903	1.8965569865288893E-4	1.0020559670150616E-7
LIAS	0.0	0.0	1.3344512327855095E-7	0.39310814235806735	1.115516862537081E-4	6.7488965633147085E-9	0.39310814235806735	1.115516862537081E-4	6.7488965633147085E-9	0.6886388886247808	9.770699327820388E-4	1.1714808026421551E-7
LIF	0.5333705467051061	0.0018162447674407698	6.226942492033996E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIFR	0.2215693116575164	0.004275457773187036	5.886407486281301E-7	0.24818754945991825	4.225667697955475E-4	5.016285257233536E-8	0.24818754945991822	1.4085558993184917E-4	1.6720950857445118E-8	0.18829336443907482	3.205902913264611E-4	3.664807348882903E-7
