Chr37	Start37	End37	Orient37	Chr38 	Start38	End38	Orient38
1	120591087	120593888	+	1	120048465	120051266	+
1	120593888	120615104	+	1	120051274	120072490	+
1	120615104	120621559	+	1	120072497	120078952	+
1	120621559	120638795	+	1	120078958	120096194	+
1	120638796	120639951	+	1	120096194	120097349	+
1	120639952	120642766	+	1	120097349	120100163	+
1	120642766	120646975	+	1	120100179	120104388	+
1	120646975	120648863	+	1	120104390	120106278	+
1	120648863	120649241	+	1	120106279	120106657	+
1	120649243	120652326	+	1	120106657	120109740	+
1	120652326	120669070	+	1	120109741	120126485	+
1	120669072	120669155	+	1	120126485	120126568	+
1	120669156	120671497	+	1	120126568	120128909	+
1	120671497	120672603	+	1	120128912	120130018	+
1	120672604	120675481	+	1	120130018	120132895	+
1	120675481	120679582	+	1	120132910	120137011	+
1	120679582	120681290	+	1	120137012	120138720	+
1	120681290	120682023	+	1	120138721	120139454	+
1	120682023	120682772	+	1	120139455	120140204	+
1	120682772	120686756	+	1	120140208	120144192	+
1	120686756	120687940	+	1	120144193	120145377	+
1	120687940	120694384	+	1	120145378	120151822	+
1	120694387	120694401	+	1	120151822	120151836	+
1	120694403	120697156	+	1	120151836	120154589	+
1	120747156	120751176	+	1	121272160	121276180	-
1	120751177	120773755	+	1	121249582	121272160	-
1	120773755	120774880	+	1	121248445	121249570	-
1	120774881	120778777	+	1	121244549	121248445	-
1	120778777	120778967	+	1	121244358	121244548	-
1	120778968	120779222	+	1	121244104	121244358	-
1	120779223	120779542	+	1	121243785	121244104	-
1	120779542	120784042	+	1	121239282	121243782	-
1	120784046	120784144	+	1	121239184	121239282	-
1	120784144	120788066	+	1	121235256	121239178	-
1	120788066	120801611	+	1	121221710	121235255	-
1	120801612	120811198	+	1	121212124	121221710	-
1	120811198	120811905	+	1	121211416	121212123	-
1	120811907	120818285	+	1	121205038	121211416	-
1	120818285	120845052	+	1	121178270	121205037	-
1	120845053	120845738	+	1	121177585	121178270	-
1	120845741	120856234	+	1	121167092	121177585	-
1	120856234	120890209	+	1	121133111	121167086	-
1	120890209	120890350	+	1	121132969	121133110	-
1	120890350	120894171	+	1	121129147	121132968	-
1	120894171	120897255	+	1	121126061	121129145	-
1	120897259	120897949	+	1	121125371	121126061	-
1	120897949	120898564	+	1	121124749	121125364	-
